paper_id,filename
1,navigating-through-renewed-economic-uncertainty_3.pdf
2,the-ukraine-war-and-its-implications-for-european-security__CES-POLICY-BRIEF-The-Ukraine-War-WEB.pdf
3,the-future-of-transatlantic-relations_ciolan-moyer-2025-navigating-uncertainty-where-are-eu-us-relations-headed.pdf
4,why-there-cannot-be-climate-refugees__Climate-Refugees-In-Brief.pdf
5,coming-out-of-the-shadows-the-european-stability-mechanism-and-euro-area-governance__Martens-Centre-Policy-Brief-1.pdf
6,activity-report-2023__Activity-Report-2023.pdf
7,immigration-to-europe-the-big-picture-for-the-eu-and-its-member-states__Martens-Centre-Research-Paper.pdf
8,the-7ds-digitalisation-in-depth__Digitalisation.pdf
9,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_3.pdf
10,the-7ds-demography-in-depth__Demography.pdf
11,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_2.pdf
12,the-future-of-transatlantic-relations_echikson-2025-trump-tech-and-transatlantic-turbulence.pdf
13,the-state-of-the-european-union-a-need-for-unity-and-solidarity__The-State-of-the-European-Union-A-Need-for-Unity-and-Solidarity.pdf
14,the-future-of-transatlantic-relations_gregan-2025-maximalist-or-minimalist-assessing-the-impact-of-michael-d-higgins-on-the-office-of-president-of-ireland.pdf
15,navigating-through-renewed-economic-uncertainty_2.pdf
16,the-future-of-transatlantic-relations_Make-the-West-Great-Again-1.pdf
17,international-cooperation-in-a-new-era-the-eus-quest-for-like-minded-partners-latin-american-and-caribbean__International-Cooperation-in-a-New-Era.pdf
18,why-we-still-need-parties-the-resilience-of-europes-political-parties-explained__Why-We-Still-Need-Parties.pdf
19,did-secularisation-kill-god-changes-in-religiosity-and-values-among-natives-and-migrants-in-europe__Did-Secularisation-Kill-God.pdf
20,the-future-of-nato-demise-reform-or-rebirth__The-Future-of-NATO.pdf
21,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_1.pdf
22,ukraine-as-a-locus-of-identity-why-history-and-culture-matter__Martens-Centre-In-Focus.pdf
23,explaining-the-rise-of-the-radical-right-in-europe__Martens-Centre-Policy-Brief.pdf
24,navigating-through-renewed-economic-uncertainty_1.pdf
25,how-mainstream-parties-can-defend-democracy-by-adopting-parts-of-the-populist-agenda__Democracy-and-Populism-In-Brief.pdf
26,navigating-through-renewed-economic-uncertainty_5.pdf
27,navigating-demographic-dynamics-strategies-for-tomorrow_9.pdf
28,re-new-eu-recovery-reopening-and-revival__Renew-EU-Recovery-Reopening-and-Revival.pdf
29,the-future-of-transatlantic-relations_Make-the-West-Great-Again.pdf
30,activity-report-2024__AR-2024.pdf
31,from-bad-to-worse-the-continuing-effects-of-sanctions-on-russia__From-Bad-to-Worse.pdf
32,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_5.pdf
33,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_4.pdf
34,navigating-demographic-dynamics-strategies-for-tomorrow_8.pdf
35,enhancing-election-integrity-by-strengthening-eu-defences-against-disinformation__Elections-Integrity-Policy-Brief.pdf
36,navigating-through-renewed-economic-uncertainty_4.pdf
37,navigating-through-renewed-economic-uncertainty_6.pdf
38,attitudes-towards-the-eu-among-the-transylvanian-hungarians__ces2023_report_eng_autumn.pdf
39,chinas-electric-vehicle-challenge-to-europe-red-flags-and-red-lines__Martens-Centre-Policy-Brief-1.pdf
40,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_6.pdf
41,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_7.pdf
42,the-future-of-transatlantic-relations_Lete.pdf
43,a-better-deal-for-climate-and-european-competitiveness-policy-proposals-for-the-european-centre-right__A-Better-Deal-for-Climate-and-European-Competitiveness.pdf
44,navigating-through-renewed-economic-uncertainty_7.pdf
45,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_18.pdf
46,navigating-demographic-dynamics-strategies-for-tomorrow_European-View-Spring-2024.pdf
47,the-future-of-transatlantic-relations_novotny-2025-migrant-repatriations-as-a-transatlantic-challenge-some-legal-methodological-and-democratic-considerations.pdf
48,reforming-economic-and-monetary-union-balancing-spending-and-public-debt-sustainability__Reforming-Economic-and-Monetary-Union-Policy-Brief.pdf
49,the-7ds-de-risking-globalisation-in-depth__Derisking-Globalisation.pdf
50,relations-between-the-eu-and-switzerland-too-much-to-lose-too-little-to-negotiate__Martens-Centre-Policy-Brief.pdf
51,the-7ds-demography-extended__Demography.pdf
52,the-7ds-digitalisation-extended__Digitalisation.pdf
53,the-7ds-debt-extended__Debt.pdf
54,freedom-must-be-better-armed-than-tyranny-boosting-research-and-industrial-capacity-for-european-defence__Martens-Centre-Policy-Brief.pdf
55,the-7ds-decarbonisation-extended__Decarbonisation.pdf
56,christian-democracy-conservatism-and-the-challenge-of-the-extremes__Christian-Democracy-Conservatism-and-the-Challenge-of-the-Extremes.pdf
57,resilience-unveiled-shaping-the-future-of-central-europe__Resilience-Unveiled-Shaping-the-Future-of-Central-Europe.pdf
58,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_8.pdf
59,the-7ds-democracy-extended__Democracy.pdf
60,challenges-of-belarusian-migration-in-the-eu__KA_book_2023_EN.pdf
61,youth-of-the-epp-25-years-on-the-right-side-of-history__YEPP-25-Years-Publication.pdf
62,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_9.pdf
63,the-future-of-transatlantic-relations_Europes-China-Challenge.pdf
64,transatlantic-trade-and-technology-partners-or-rivals__Transatlantic-Trade-and-Technology-Partners-or-Rivals.pdf
65,financing-politics-in-europe-a-political-party-roadmap-for-more-transparency-and-effectiveness__Financing-Politics-in-Europe.pdf
66,middle-class-concerns-and-european-challenges-a-data-driven-study-from-a-centre-right-perspective__Middle-Class-Concerns-and-European-Challenges.pdf
67,evaluating-chinas-space-capabilities-and-ambitions__Evaluating-Chinas-Space-Capabilities-and-Ambitions.pdf
68,security-and-defence-days-conference-proceedings__SDD-2022.pdf
69,breaking-free-europes-path-to-greater-financial-autonomy__Martens-Centre-Policy-Brief.pdf
70,up-up-and-away-a-price-stability-guide-for-policymakers__Up-Up-and-Away.pdf
71,ambitions-and-limits-the-deepening-security-dialogue-between-japan-and-the-european-union__Ambitions-and-Limits-The-Deepening-Security-Dialogue-Between-Japan-and-the-European-Union.pdf
72,the-future-of-transatlantic-relations_walshe-2025-a-european-way-of-war-towards-doctrine-to-defend-against-russia-without-the-us.pdf
73,the-7ds-extended__The-7Ds-Extended.pdf
74,the-future-of-transatlantic-relations_brzuszkiewicz-2025-a-two-way-path-state-driven-and-bottom-up-social-change-in-contemporary-arab-gulf-monarchies.pdf
75,hedging-chaos-how-the-eu-japan-and-south-korea-can-shape-a-new-type-of-trading-power__Hedging-Chaos-Policy-Brief.pdf
76,eu-taiwan-ties-in-a-new-reality-time-for-an-upgrade__EU-Taiwan-Ties.pdf
77,mistaking-the-wood-for-the-trees-five-ways-the-eu-can-deliver-a-more-competitive-industrial-policy__Martens-Centre-In-Brief.pdf
78,the-power-of-opacity-eu-responses-to-weaponised-migration__CES_POLICY-BRIEF_Power-of-Opacity-WEB.pdf
79,cross-border-movements-compared-migration-from-and-to-ukraine-in-historical-comparison-with-other-conflict-induced-situations__Cross-Border-Migration-In-Brief.pdf
80,the-future-of-transatlantic-relations_Welle.pdf
81,proposal-for-the-european-commission-white-paper-on-the-future-of-european-defence__Proposal-EU-Defence.pdf
82,navigating-demographic-dynamics-strategies-for-tomorrow__European-View-Spring-2024.pdf
83,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_11.pdf
84,navigating-through-renewed-economic-uncertainty_European-View-Spring-2023.pdf
85,navigating-demographic-dynamics-strategies-for-tomorrow_10.pdf
86,the-7ds-decarbonisation-in-depth__Decarbonisation.pdf
87,the-7ds-in-depth__7Ds-In-Depth.pdf
88,the-future-of-transatlantic-relations_dzurinda-2025-the-future-of-transatlantic-relations.pdf
89,the-athens-effect-5-reasons-why-france-and-the-eu-should-go-greek-on-debt__Martens-Centre-In-Brief.pdf
90,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_2.pdf
91,intersecting-paths-strategic-autonomy-enlargement-and-the-future-of-eu-western-balkans-relations__Intersecting-Paths-v.6.pdf
92,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_3.pdf
93,navigating-demographic-dynamics-strategies-for-tomorrow_11.pdf
94,rural-europe-our-contract-with-rural-europe-a-five-point-plan-for-europes-heartlands__Rural-Europe-In-Focus.pdf
95,navigating-through-renewed-economic-uncertainty__European-View-Spring-2023.pdf
96,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_10.pdf
97,the-future-of-transatlantic-relations_Colson.pdf
98,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_12.pdf
99,the-7ds-defence-extended__7Ds-Defence-Extended.pdf
100,navigating-demographic-dynamics-strategies-for-tomorrow_13.pdf
101,culture-wars-how-to-stabilise-liberal-democracies-and-regain-ground-for-the-centre-right-parties__Culture-Wars-In-Focus.pdf
102,the-un-sustainable-development-goals-some-reflections-from-the-perspective-of-the-european-economic-and-social-committee__The-UN-Sustainable-Development-Goals.pdf
103,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_1.pdf
104,the-7ds-de-risking-globalisation-extended__De-risking-Globalisation.pdf
105,the-northern-ireland-protocol-and-why-it-still-matters__Martens-Centre-Policy-Brief.pdf
106,european-sovereignty-between-autonomy-and-dependence-a-guide-for-eu-policy__European-sovereignty-between-autonomy-and-dependence.pdf
107,securing-europes-critical-minerals-leveraging-the-eu-ukraine-partnership-amidst-us-competition__Ukraine-Raw-Materials-Paper.pdf
108,strengthening-the-lgbtiq-voice-as-part-of-the-centre-right-narrative__EPPride-Position-Paper.pdf
109,navigating-demographic-dynamics-strategies-for-tomorrow_12.pdf
110,why-europe-needs-a-nuclear-deterrent-a-critical-appraisal__Martens-Centre-Research-Paper-1.pdf
111,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_13.pdf
112,the-7ds-democracy-in-depth__Democracy.pdf
113,reconnecting-the-british-to-europe-strategic-imperatives-and-inconvenient-truths__Martens-Centre-Policy-Brief-1.pdf
114,interparty-relations-in-the-european-parliament-1952-2024-between-cooperative-and-adversarial-politics__Martens-Centre-Research-Paper.pdf
115,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_17.pdf
116,the-war-in-ukraine-and-the-way-forward__WMCES-Ukraine-Paper.pdf
117,navigating-demographic-dynamics-strategies-for-tomorrow_16.pdf
118,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_4.pdf
119,confronting-europes-labour-shortage-a-strategic-blueprint-to-attract-global-talent-and-reverse-population-decline__Martens-Centre-Policy-Brief.pdf
120,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_5.pdf
121,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_16.pdf
122,building-a-transatlantic-approach-to-economic-security__Martens-Centre-Policy-Brief-2.pdf
123,the-7ds-defence-in-depth__Defence.pdf
124,gaining-insights-into-the-gender-gap-and-orientations-of-young-european-citizens-an-analysis-of-longitudinal-glocalities-survey-data-from-eight-european-countries__Gaining-Insights-Into-the-Gender-Gap.pdf
125,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_14.pdf
126,navigating-demographic-dynamics-strategies-for-tomorrow_15.pdf
127,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_7.pdf
128,the-agenda-of-the-new-eu-institutional-cycle__Eleventh-European-Studies-conference-proceedings.pdf
129,artificial-intelligence-and-democracy__AI-and-Democracy.pdf
130,evaluating-chinas-energy-outlook-the-reds-are-far-from-green__Evaluating-Chinas-Energy-Outlook.pdf
131,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_6.pdf
132,navigating-demographic-dynamics-strategies-for-tomorrow_14.pdf
133,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_15.pdf
134,fortifying-economic-security-the-eus-response-to-chinas-risk__Fortifying-Economic-Security-The-EU-Response-to-China-Risk.pdf
135,a-digital-euro-balancing-innovation-autonomy-and-trust__Martens-Centre-Policy-Brief.pdf
136,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union__European-View-Autumn-2023.pdf
137,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_13.pdf
138,publications.pdf
139,navigating-demographic-dynamics-strategies-for-tomorrow_6.pdf
140,navigating-through-renewed-economic-uncertainty_14.pdf
141,navigating-through-renewed-economic-uncertainty_15.pdf
142,navigating-demographic-dynamics-strategies-for-tomorrow_7.pdf
143,chinas-influence-on-the-western-balkans-eu-accession-process-synergies-and-obstacles__Chinas-Influence-on-the-Western-Balkans-EU-Accession-Process-Synergies-and-Obstacles.pdf
144,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_12.pdf
145,the-7ds-for-sustainability-175-proposals-for-the-next-legislature__The-7Ds-for-Sustainability.pdf
146,a-blueprint-for-accelerated-integration-and-phasing-in__KAS-Skopje-Collaborative-Publication.pdf
147,navigating-through-renewed-economic-uncertainty_9.pdf
148,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions__European-View-Autumn-2024.pdf
149,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_10.pdf
150,the-future-of-transatlantic-relations_alli-2025-the-role-of-italy-in-shaping-the-transatlantic-relationship-under-trump.pdf
151,the-future-of-transatlantic-relations_Owning-the-liberal-international-order.pdf
152,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_European-View-Autumn-2023.pdf
153,navigating-demographic-dynamics-strategies-for-tomorrow_5.pdf
154,brexit-navigating-the-politics-of-discord__Martens-Centre-Policy-Brief.pdf
155,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_9.pdf
156,finlands-nato-strategy__Finlands-NATO-Strategy-ENG.pdf
157,navigating-through-renewed-economic-uncertainty_17.pdf
158,navigating-through-renewed-economic-uncertainty_16.pdf
159,sustainable-europe-cross-cutting-strategies-for-a-future-proof-union_8.pdf
160,navigating-demographic-dynamics-strategies-for-tomorrow_4.pdf
161,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_11.pdf
162,the-future-of-transatlantic-relations__Make-the-West-Great-Again-1.pdf
163,navigating-through-renewed-economic-uncertainty_8.pdf
164,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_15.pdf
165,battle-for-democracy-in-the-digital-age__Battle-for-Democracy-in-the-Digital-Age-CZ.pdf
166,keeping-the-european-momentum-a-pan-european-study-on-eu-enlargement-and-deepening__Martens-Centre-Pan-European-Survey.pdf
167,the-7ds-debt-in-depth__Debt.pdf
168,navigating-through-renewed-economic-uncertainty_12.pdf
169,why-price-stability-matters__Why-Price-Stability-Matters.pdf
170,are-the-mainstream-parties-in-europe-germany-and-austria-crumbling-political-parties-as-decisive-actors-in-liberal-democracies__Are-the-Mainstream-Parties-in-Europe-Germany-and-Austria-crumbling.pdf
171,navigating-through-renewed-economic-uncertainty_13.pdf
172,the-future-of-transatlantic-relations_kochis-2025-the-trump-administration-s-belief-in-multipolarity-informs-its-transatlantic-security-policy.pdf
173,navigating-demographic-dynamics-strategies-for-tomorrow_1.pdf
174,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_14.pdf
175,finland-in-the-european-union-what-next__Finland-in-the-EU.pdf
176,the-future-of-european-development-cooperation-a-centre-right-perspective__Martens-Centre-Policy-Brief.pdf
177,activity-report-2022__Activity-Report-2022.pdf
178,preventing-georgia-from-sliding-away-options-for-the-european-union__Georgia-In-Brief.pdf
179,reconstructing-ukraine-how-the-eu-and-ukraine-can-mutually-benefit__Reconstructing-Ukraine-FINAL.pdf
180,overcoming-the-geography-of-discontent-new-perspectives-and-innovative-solutions_European-View-Autumn-2024.pdf
181,navigating-demographic-dynamics-strategies-for-tomorrow_3.pdf
182,russian-economy-still-standing-but-stuck__Milov-Russian-Economy-.pdf
183,navigating-through-renewed-economic-uncertainty_11.pdf
184,navigating-through-renewed-economic-uncertainty_10.pdf
185,navigating-demographic-dynamics-strategies-for-tomorrow_2.pdf
186,the-future-of-transatlantic-relations_d-haeninck-hondeghem-2025-new-directives-for-equality-bodies-a-unified-future.pdf
187,the-future-of-transatlantic-relations_leuprecht-2025-the-europe-canada-schicksalsgemeinschaft-transatlantic-interdependency-in-the-new-north-atlantic-triangle.pdf
